ID,Name,Business Description,Primary Objects,Component Groups,Complexity Score
V_CA5FFFED,Account Management & Data Quality,"Automates account data cleansing, tracks interaction counts, manages health maintenance checks, updates revalidation dates, and maintains accurate year-to-date spending and event expenses for healthcare organizations and professionals.","Account, Call2_vod__c, Address_vod__c","V51000000004054, V51000000002030, V51000000002029, V51000000002028, V51000000002012, V51000000002006, V51000000002004, V51000000001027, V51000000001021, V51000000001013, V51000000001008, V51000000001046, V51000000002036, V51000000001007",116
V_26759010,Territory & Alignment Management,"Manages territory alignments for accounts and internal team members, handles future territory assignments, and automates MSL self-alignments to ensure accurate territory-based access and reporting.","Account_Territory_Loader_vod__c, TSF_vod__c, ES_Future_Territory_Assignment__c","V51000000001038, V51000000001023, V51000000001035, V51000000001033, V51000000001019, V51000000001031",22
V_22A7A3F3,Account Planning & Tactics,"Facilitates strategic account planning by automating owner assignments, aligning users, generating external IDs, and managing the lifecycle, status, and business impact of account tactics and opportunities.","Account_Plan_vod__c, Account_Tactic_vod__c","V51000000001037, V51000000002007, V51000000002003, V51000000002002, V51000000004004, V51000000003017, V51000000001012, V51000000004059, V51000000004058, V51000000002023, V51000000001042, V51000000001034, V51000000001026, V51000000001025",76
V_A446289E,Interaction & Call Management,"Streamlines the capture of customer interactions by automatically stamping field force and rep details, generating external IDs, and providing embedded call report interfaces.","Call2_vod__c, Call2_Discussion_vod__c, Internal_Activity_vod__c","V51000000002034, V51000000002026, V51000000001041, V51000000001010, V51000000001004, V51000000001011",3
V_9F20C888,Sales Referral Management,"Automates the end-to-end sales referral process, including aligning sales reps, assigning managers, generating external IDs, tracking completion dates, and creating associated follow-up tasks.",ES_Sales_Referral__c,"V51000000002018, V51000000004055, V51000000002021, V51000000002013, V51000000001039, V51000000002017",31
V_6BB15C7F,Coaching & Action Items,"Supports field force development by automating the creation, sharing, and status tracking of coaching reports, as well as managing the lifecycle, notifications, and auto-closure of associated action items.","Coaching_Report_vod__c, Action_Item_vod__c","V51000000004060, V51000000003030, V51000000003009, V51000000002008, V51000000001045, V51000000001017, V51000000002035, V51000000004056, V51000000004011, V51000000002014, V51000000001032",23
V_05388489,Surveys & Feedback Management,"Manages the distribution and tracking of surveys, including NPS and customer satisfaction, automates reminder emails, and maintains survey target data and external IDs.","Survey_vod__c, Survey_Target_vod__c, Question_Response_vod__c","V51000000001001, V51000000004009, V51000000002027, V51000000002005, V51000000001016, V51000000001002, V51000000001014, V51000000001036, V51000000002016",106
V_2A9615B5,Alerts & Notifications,"Generates automated alerts and user action records for specific business events, such as new ISR support requests, ensuring timely follow-up by the appropriate personnel.","Alert_vod__c, Alert_User_Action_vod__c","V51000000001022, V51000000001009",13
V_D2C244E4,Medical Events & Consent Management,Automates the rollup of year-to-date medical event expenses for attendees and manages multichannel consent by creating global opt-out records across associated accounts.,"Event_Attendee_vod__c, Multichannel_Consent_vod__c","V51000000001003, V51000000001006, V51000000001024",72
V_56B0393B,MyInsights & Analytics,"Provides comprehensive data visualization and analytics through MyInsights dashboards for HCPs, HCOs, territory performance, and sales leaders, while managing associated debug logs.",MI_Debug_Logs__c,"V51000000002009, V51000000001005, V51000000002001, V51000000003031, V51000000003032, V51000000003033, V51000000003034, V51000000003035, V51000000003036, V51000000003037, V51000000003038, V51000000003039, V51000000003040, V51000000004062, V51000000004063, V51000000004064, V51000000004065, V51000000004066, V51000000004067, V51000000004068, V51000000004069, V51000000004070, V51000000004071, V51000000004072",62
V_F44AF7B0,User & System Administration,"Handles administrative tasks such as managing Pitcher application access, updating user role descriptions, and sending email confirmation links to standard users.",User,"V51000000001044, V51000000002025, V51000000004051",13
V_93DC9F40,Medical Inquiry Management,"Manages the end-to-end lifecycle of medical inquiries, including request routing, MSL assignment tracking, status updates, and record classification to ensure timely and accurate responses to healthcare professionals.",Medical_Inquiry_vod__c,"V51000000001020, V51000000004061, V51000000004007, V51000000001043, V51000000001040, V51000000001030, V51000000002001",10
V_6F73ACCA,Call Reporting & Interactions,"Facilitates the logging and tracking of interactions with healthcare professionals and accounts, providing streamlined interfaces for capturing call reports and viewing interaction histories.","Call2_vod__c, Account","V51000000001004, V51000000001007",0
V_7B062870,Surveys & Feedback Management,"Enables the collection and analysis of customer feedback through standardized surveys, such as Net Promoter Score (NPS) and Customer Satisfaction (CSAT), to measure and improve service quality.",Survey,"V51000000001036, V51000000002016",2
V_1C959D1D,Project Management,Streamlines project tracking and execution by automatically categorizing project types and ensuring project milestones and statuses are accurately maintained for reporting and operational efficiency.,project_cloud__Project__c,"V51000000001046, V51000000002036",9
V_2B31291A,User & System Administration,"Automates routine administrative tasks, such as maintaining accurate user role descriptions and managing user email verification processes, ensuring system security and data integrity.","User, UserRole","V51000000002025, V51000000004051",8
V_FAB89507,Account Planning & Tactics,"Supports strategic account management by ensuring account plans are properly assigned and managed, facilitating coordinated efforts across teams for key accounts.",Account_Plan_vod__c,V51000000003017,0
V_AB6A121E,MyInsights & Analytics,"Provides comprehensive data visualization and reporting capabilities, offering actionable insights into territory performance, healthcare provider engagement, sales trends, and account strategies through tailored dashboards.",MyInsights,"V51000000003031, V51000000003032, V51000000003033, V51000000003034, V51000000003035, V51000000003036, V51000000003037, V51000000003038, V51000000003039, V51000000003040, V51000000004062, V51000000004063, V51000000004064, V51000000004065, V51000000004066, V51000000004067, V51000000004068, V51000000004069, V51000000004070, V51000000004071, V51000000004072",0
